time,seconds_elapsed,qw,qx,qy,qz
1146143391835,0.037202041,0.8306258,0.5325458,0.100038655,0.12824987
1146163410993,0.057221199,0.83154833,0.5311464,0.09892274,0.12893924
1146183460669,0.077270875,0.8332801,0.52835673,0.09891938,0.12922245
1146203479828,0.097290034,0.8350186,0.52546674,0.10096319,0.12819935
1146223529504,0.11733971,0.8350582,0.52523005,0.10325994,0.12707737
1146243579180,0.137389386,0.83378905,0.5274378,0.1022567,0.12707864
1146263598338,0.157408544,0.8322747,0.52994144,0.10070511,0.12782593
1146283648014,0.17745822,0.83105433,0.5320141,0.100406066,0.12739055
1146303667173,0.197477379,0.83035433,0.5333063,0.10112901,0.1259723
1146323716849,0.217527055,0.8296073,0.534646,0.10064084,0.12560591
1146343766525,0.237576731,0.82855374,0.53652066,0.09946691,0.12550224
1146363785683,0.257595889,0.82971275,0.5351815,0.09672097,0.1257085
1146383835359,0.277645565,0.8305362,0.534353,0.097012535,0.12355281
1146403854518,0.297664724,0.83081454,0.53440934,0.097797856,0.120786875
1146423904194,0.3177144,0.83084303,0.5347611,0.09733227,0.11940281
1146443923352,0.337733558,0.8307456,0.5351569,0.09750577,0.11815901
1146463973028,0.357783234,0.83042425,0.53596526,0.097563855,0.11669642
1146483992187,0.377802393,0.8301383,0.5368129,0.09718439,0.1151415
1146504041863,0.397852069,0.8306109,0.53642684,0.09677477,0.113870725
1146524091539,0.417901745,0.83141583,0.53549683,0.09643118,0.112658426
1146544141215,0.437951421,0.8321031,0.53479713,0.09608961,0.11119074
1146564190891,0.458001097,0.83303344,0.5338048,0.09548887,0.1094978
1146584301601,0.478111807,0.83402306,0.5326173,0.09495015,0.10820721
1146604320759,0.498130965,0.834715,0.5317575,0.0945769,0.10742479
1146624370435,0.518180641,0.8351171,0.5312802,0.0943621,0.10684805
1146644389594,0.5381998,0.8353427,0.5310301,0.09435379,0.10633418
1146664408752,0.558218958,0.8355007,0.53077525,0.09482798,0.10594255
1146684458428,0.578268634,0.8356094,0.5304514,0.09584928,0.10578866
1146704508104,0.59831831,0.83542186,0.5304466,0.09722535,0.106038615
1146724527263,0.618337469,0.8347534,0.5311612,0.09865425,0.10640457
1146744546421,0.638356627,0.8337957,0.5323912,0.10003738,0.106474765
1146764596097,0.658406303,0.83320856,0.5332307,0.10084065,0.10611199
1146784615256,0.678425462,0.8329561,0.53361475,0.10138411,0.105644494
1146804664932,0.698475138,0.8326969,0.53397626,0.101803705,0.10545787
1146824714608,0.718524814,0.8322736,0.53461874,0.102079324,0.10527702
1146844733766,0.738543972,0.8316676,0.53561765,0.10205473,0.10501293
1146864813960,0.758624166,0.8311836,0.53648823,0.10171751,0.10472735
1146884863635,0.778673841,0.83102155,0.5368142,0.101210855,0.10483391
1146904882794,0.798693,0.83110297,0.53674996,0.100604914,0.105099626
1146924901953,0.818712159,0.8311599,0.5366832,0.100367,0.10521902
1146944951629,0.838761835,0.8310793,0.53680503,0.10028313,0.10531374
1146964970787,0.858780993,0.83113813,0.5367937,0.10009489,0.10508496
1146984989946,0.878800152,0.83128965,0.5366384,0.10052277,0.1042696
1147005039622,0.898849828,0.8313543,0.5366174,0.10026594,0.10410822
1147025089298,0.918899504,0.8313307,0.536567,0.10052386,0.104308
1147045108456,0.938918662,0.8313064,0.536434,0.1013335,0.1044027
1147065158132,0.958968338,0.8312375,0.53635037,0.10224398,0.1044931
1147085177291,0.978987497,0.83115715,0.5364072,0.10262329,0.104468524
1147105226967,0.999037173,0.8312371,0.536336,0.102361925,0.10445503
1147125246125,1.019056331,0.8313542,0.5363183,0.10148535,0.10446942
1147145295801,1.039106007,0.83151746,0.53622985,0.100709006,0.104374796
1147165314960,1.059125166,0.8315363,0.53625065,0.10024873,0.1045606
1147185364636,1.079174842,0.8314953,0.53630435,0.10026498,0.10459594
1147205383795,1.099194001,0.8317043,0.53604996,0.09985587,0.10462951
1147225402954,1.11921316,0.8321264,0.5354626,0.09928852,0.1048212
1147245452630,1.139262836,0.83234566,0.5353246,0.098151684,0.10485465
1147265471788,1.159281994,0.83263665,0.53520966,0.09585678,0.10525425
1147285521464,1.17933167,0.83339304,0.5344972,0.093133256,0.10533284
1147305540623,1.199350829,0.83421206,0.5339006,0.0895196,0.10500789
1147325590299,1.219400505,0.8354201,0.5327389,0.08551854,0.10463789
1147345609457,1.239419663,0.83764696,0.5301788,0.081814095,0.10278412
1147365659133,1.259469339,0.8413789,0.52542204,0.08124659,0.097017184
1147385678292,1.279488498,0.84633577,0.51892096,0.0820886,0.087741055
1147405727968,1.299538174,0.8517377,0.51158494,0.08367365,0.07630558
1147425777644,1.31958785,0.8565421,0.5044005,0.08869866,0.06362785
1147445796802,1.339607008,0.85964787,0.49844474,0.09940265,0.051746834
1147465846478,1.359656684,0.86118364,0.49358746,0.11301926,0.044282068
1147485865637,1.379675843,0.8623832,0.48876837,0.1252927,0.041262776
1147505884795,1.399695001,0.86396706,0.48416045,0.13231438,0.04052899
1147525934471,1.419744677,0.8661782,0.48005363,0.13288203,0.040327102
1147545953630,1.439763836,0.8683587,0.47703725,0.1291944,0.041202415
1147565972789,1.459782995,0.86999816,0.47558922,0.12275551,0.043005086
1147585991948,1.479802154,0.87105453,0.47535548,0.11490741,0.04579811
1147606011106,1.499821312,0.87078905,0.47724745,0.10697008,0.05018771
1147626060782,1.519870988,0.8690609,0.4812262,0.10003429,0.056105483
1147646079941,1.539890147,0.8670628,0.4853329,0.09386872,0.061991174
1147666099099,1.559909305,0.8656061,0.48829788,0.088162825,0.067221224
1147686148775,1.579958981,0.8653293,0.48889926,0.08508574,0.07030738
1147706167935,1.599978141,0.86493796,0.4903026,0.076996796,0.07454814
1147726217610,1.620027816,0.8642625,0.49218923,0.06766295,0.07887832
1147746236769,1.640046975,0.8629291,0.4948231,0.06220502,0.08144991
1147766255928,1.660066134,0.86142975,0.4975144,0.060256556,0.08238606
1147786305604,1.68011581,0.86011064,0.49966642,0.061869226,0.081948064
1147806355280,1.700165486,0.85922086,0.5008632,0.066046305,0.08070644
1147826374438,1.720184644,0.85874796,0.5009257,0.07173782,0.080492765
1147846393597,1.740203803,0.85851306,0.5003271,0.07767706,0.08120606
1147866443273,1.760253479,0.85833836,0.49943638,0.08342723,0.08281608
1147886462432,1.780272638,0.8578869,0.49903524,0.0885379,0.08458784
1147906512108,1.800322314,0.85809755,0.49762112,0.0934157,0.0855302
1147926531266,1.820341472,0.8595999,0.4943899,0.09678113,0.085441865
1147946580942,1.840391148,0.8615982,0.4906053,0.09904719,0.08452698
1147966600101,1.860410307,0.8641782,0.4860359,0.10036454,0.08301885
1147986649777,1.880459983,0.8673018,0.48061377,0.101147704,0.08103785
1148006668935,1.900479141,0.8695056,0.47648346,0.103658125,0.07860547
1148026718611,1.920528817,0.87183636,0.4721373,0.105601765,0.07639436
1148046737770,1.940547976,0.87468636,0.46692723,0.10666639,0.074331135
1148066756929,1.960567135,0.8782925,0.46040082,0.10643475,0.07283667
1148086806605,1.980616811,0.8816793,0.45429787,0.10514563,0.072108366
1148106825764,2.00063597,0.8840854,0.45006368,0.10332302,0.07183474
1148126875440,2.020685646,0.88526106,0.44804287,0.10202535,0.071843535
1148146894598,2.040704804,0.8853384,0.44785637,0.101886995,0.07224763
1148166944274,2.06075448,0.8841389,0.44991955,0.102533214,0.07319668
1148186963433,2.080773639,0.88173056,0.45451033,0.10228655,0.0742236
1148206982591,2.100792797,0.87850034,0.46098292,0.100569606,0.074952
1148227032267,2.120842473,0.87465394,0.46881402,0.09765331,0.07521916
1148247051426,2.140861632,0.8704162,0.4771253,0.095025964,0.075479485
1148267070585,2.160880791,0.86731124,0.483034,0.093197815,0.07591854
1148287120260,2.180930466,0.86284393,0.49073452,0.093688466,0.0768282
1148307139420,2.200949626,0.858008,0.4986712,0.09548761,0.07766163
1148327158578,2.220968784,0.85413915,0.5048228,0.097460255,0.0781156
1148347177737,2.240987943,0.8517198,0.5085668,0.09886877,0.07847437
1148367196895,2.261007101,0.851298,0.50936556,0.09863101,0.07816952
1148387216055,2.281026261,0.8527743,0.50719506,0.097494885,0.077613726
1148407265730,2.301075936,0.8553052,0.5031318,0.09653408,0.07741206
1148427284889,2.321095095,0.8588418,0.4971784,0.09608572,0.077278845
1148447304048,2.341114254,0.863686,0.4889045,0.09556996,0.07671549
1148467323206,2.361133412,0.8699154,0.4780736,0.09466407,0.07570774
1148487372882,2.381183088,0.8767881,0.4657698,0.09342807,0.07464858
1148507392041,2.401202247,0.88327724,0.45377532,0.092008516,0.07378205
1148527411200,2.421221406,0.88815814,0.4444263,0.09073913,0.0736665
1148547430359,2.441240565,0.8900993,0.44037506,0.09030258,0.07509144
1148567480035,2.461290241,0.88831407,0.4433603,0.091139875,0.07760979
1148587499194,2.4813094,0.884734,0.44994357,0.09195804,0.079626545
1148607609903,2.501420109,0.88078296,0.4573723,0.09247757,0.08049846
1148627629062,2.521439268,0.8764606,0.46548024,0.09292225,0.08068697
1148647648220,2.541458426,0.87315017,0.47169113,0.09313043,0.08026951
1148667697896,2.561508102,0.86990917,0.47768068,0.09360466,0.079482146
1148687717055,2.581527261,0.8668499,0.48332644,0.09355708,0.07882836
1148707736215,2.601546421,0.8647199,0.48730224,0.092937075,0.078478135
1148727785889,2.621596095,0.86402595,0.48885325,0.09185945,0.07773982
1148747805049,2.641615255,0.86489373,0.48760277,0.09070506,0.0772977
1148767824208,2.661634414,0.86703765,0.48393142,0.089761876,0.07745356
1148787873884,2.68168409,0.8703641,0.47809324,0.08880983,0.07749786
1148807893042,2.701703248,0.87456834,0.47065538,0.08738949,0.07731005
1148827912201,2.721722407,0.8792223,0.4622875,0.08548401,0.077143095
1148847961877,2.741772083,0.8841315,0.4532648,0.083159216,0.07711825
1148868011553,2.761821759,0.8888766,0.44433826,0.08064611,0.07718929
1148888030711,2.781840917,0.8923854,0.43762937,0.07842338,0.07732194
1148908049870,2.801860076,0.89446306,0.43354964,0.07669118,0.078032605
1148928099546,2.821909752,0.8948508,0.4325555,0.07632737,0.07944756
1148948118705,2.841928911,0.89290476,0.43607014,0.07700092,0.08145464
1148968168380,2.861978586,0.88924664,0.44294402,0.07812079,0.08329616
1148988187540,2.881997746,0.88459736,0.45176688,0.07920128,0.084389016
1149008206698,2.902016904,0.87974554,0.4608969,0.08015762,0.08483326
1149028256374,2.92206658,0.87530506,0.4690263,0.08169418,0.084744334
1149048275533,2.942085739,0.8715655,0.47552836,0.08378985,0.08500424
1149068294691,2.962104897,0.86789095,0.4817014,0.0858698,0.085764825
1149088344367,2.982154573,0.8648948,0.48656952,0.08769074,0.08670407
1149108363526,3.002173732,0.862934,0.48965245,0.08912797,0.08741594
1149128382685,3.022192891,0.86222607,0.4907558,0.08956825,0.08776429
1149148432360,3.042242566,0.8629694,0.48960647,0.08907289,0.087380596
1149168451520,3.062261726,0.8648764,0.48651758,0.08791139,0.08695511
1149188501195,3.082311401,0.8676094,0.48190752,0.08698737,0.08632802
1149208520354,3.10233056,0.87144345,0.47518072,0.08613841,0.085847735
1149228570029,3.122380235,0.87633896,0.46643418,0.08470071,0.085410915
1149248589189,3.142399395,0.8819694,0.45618165,0.082816094,0.08467463
1149268638865,3.162449071,0.8871205,0.4464975,0.08094149,0.08429616
