time,seconds_elapsed,x,y,z
5447251317145,0.020811312,52.246094,-68.55469,-261.71875
5447271397345,0.040891512,51.953125,-67.77344,-261.42578
5447291447027,0.060941194,51.757812,-66.69922,-262.5
5447311527228,0.081021395,51.85547,-67.67578,-261.03516
5447331576911,0.101071078,51.953125,-68.359375,-262.89062
5447351596077,0.121090244,51.757812,-68.06641,-262.10938
5447371645760,0.141139927,51.757812,-69.62891,-261.91406
5447391756477,0.161250644,51.953125,-69.82422,-263.76953
5447411806159,0.181300326,52.34375,-68.65234,-262.20703
5447431825326,0.201319493,51.757812,-70.80078,-261.52344
5447451875009,0.221369176,51.171875,-68.75,-261.71875
5447471924691,0.241418858,51.5625,-70.80078,-261.71875
5447491943858,0.261438025,51.953125,-69.921875,-261.23047
5447511993540,0.281487707,51.5625,-71.09375,-260.54688
5447532043223,0.30153739,51.660156,-70.50781,-261.03516
5447552062390,0.321556557,50.78125,-70.01953,-259.66797
5447572112072,0.341606239,50.683594,-69.72656,-259.96094
5447592131238,0.361625405,50.48828,-70.703125,-260.64453
5447612180921,0.381675088,50.585938,-71.09375,-261.1328
5447632200087,0.401694254,50.78125,-70.80078,-261.32812
5447652249770,0.421743937,50.48828,-69.82422,-260.64453
5447672299453,0.44179362,50.683594,-70.60547,-260.64453
5447692318619,0.461812786,50.78125,-70.50781,-260.83984
5447712368301,0.481862468,49.902344,-69.04297,-258.59375
5447732417985,0.501912152,51.26953,-71.28906,-261.03516
5447752437150,0.521931317,50.390625,-69.140625,-261.8164
5447772486833,0.541981,51.171875,-70.703125,-261.03516
5447792536516,0.562030683,51.26953,-70.01953,-260.7422
5447812586200,0.582080367,50.78125,-70.60547,-260.15625
5447832635883,0.60213005,50.48828,-67.38281,-261.03516
5447852685566,0.622179733,51.171875,-70.703125,-260.9375
5447872704732,0.642198899,50.683594,-66.30859,-260.54688
5447892754415,0.662248582,50.585938,-66.796875,-259.86328
5447912804098,0.682298265,50.29297,-67.578125,-260.9375
5447932823264,0.702317431,50.585938,-66.60156,-259.86328
5447952872947,0.722367114,50.195312,-67.87109,-261.71875
5447972922629,0.742416796,50.585938,-67.67578,-260.35156
5447992972312,0.762466479,50.390625,-68.65234,-260.35156
5448012991479,0.782485646,50.29297,-67.96875,-260.44922
5448033041161,0.802535328,50.878906,-68.94531,-260.83984
5448053090844,0.822585011,50.390625,-68.75,-261.42578
5448073140527,0.842634694,51.757812,-70.3125,-263.08594
5448093190210,0.862684377,51.660156,-69.72656,-261.8164
5448113239893,0.88273406,52.05078,-70.703125,-262.20703
5448133289575,0.902783742,51.5625,-70.60547,-262.20703
5448153339259,0.922833426,51.953125,-70.60547,-262.40234
5448173358425,0.942852592,51.171875,-69.72656,-262.59766
5448193408107,0.962902274,52.05078,-70.50781,-263.3789
5448213457791,0.982951958,51.85547,-71.38672,-262.10938
5448233507474,1.003001641,52.05078,-69.921875,-261.71875
5448253557157,1.023051324,51.367188,-70.80078,-261.91406
5448273576322,1.043070489,51.953125,-68.75,-262.89062
5448293626006,1.063120173,52.05078,-69.921875,-263.08594
5448313706205,1.083200372,51.26953,-68.26172,-260.7422
5448333725372,1.103219539,52.63672,-71.58203,-262.79297
5448353775054,1.123269221,51.5625,-70.60547,-262.98828
5448373824737,1.143318904,52.63672,-73.33984,-262.6953
5448393874420,1.163368587,52.148438,-72.36328,-262.98828
5448413893586,1.183387753,52.539062,-72.75391,-262.20703
5448433943269,1.203437436,51.953125,-72.75391,-262.98828
5448453992952,1.223487119,52.539062,-71.875,-262.98828
5448474012118,1.243506285,52.441406,-70.41016,-262.89062
5448494061801,1.263555968,52.246094,-69.43359,-262.5
5448514111484,1.283605651,52.05078,-70.89844,-261.52344
5448534161167,1.303655334,52.34375,-71.28906,-261.8164
5448554210850,1.323705017,51.953125,-71.58203,-262.01172
5448574230016,1.343724183,52.63672,-70.80078,-262.3047
5448594279699,1.363773866,52.539062,-71.19141,-262.5
5448614329381,1.383823548,52.441406,-70.11719,-262.79297
5448634379065,1.403873232,52.34375,-71.38672,-261.8164
5448654398231,1.423892398,52.246094,-71.875,-263.1836
5448674447913,1.44394208,52.148438,-72.36328,-263.1836
5448694497597,1.463991764,52.441406,-71.97266,-262.59766
5448714547280,1.484041447,51.367188,-70.703125,-261.03516
5448734566445,1.504060612,52.441406,-71.28906,-262.89062
5448754616129,1.524110296,52.441406,-72.16797,-262.89062
5448774665812,1.544159979,52.34375,-70.80078,-262.6953
5448794684977,1.564179144,52.246094,-70.60547,-262.5
5448814734660,1.584228827,51.953125,-69.53125,-262.5
5448834784344,1.604278511,51.85547,-71.09375,-262.10938
5448854803509,1.624297676,52.441406,-70.41016,-262.59766
5448874853192,1.644347359,52.441406,-71.58203,-263.08594
5448894902876,1.664397043,52.63672,-71.67969,-261.8164
5448914952559,1.684446726,52.34375,-71.77734,-262.3047
5448935002241,1.704496408,52.148438,-70.50781,-263.47656
5448955021408,1.724515575,52.246094,-71.58203,-262.01172
5448975071090,1.744565257,52.83203,-73.24219,-262.79297
5448995120773,1.76461494,52.539062,-73.92578,-263.08594
5449015139939,1.784634106,52.63672,-73.73047,-262.59766
5449035189622,1.804683789,52.05078,-72.36328,-261.52344
5449055239305,1.824733472,52.539062,-73.92578,-262.20703
5449075258470,1.844752637,52.441406,-72.46094,-262.5
5449095308154,1.864802321,52.539062,-72.07031,-261.91406
5449115357837,1.884852004,51.953125,-71.58203,-261.8164
5449135377002,1.904871169,52.246094,-71.67969,-263.76953
5449155426686,1.924920853,52.441406,-73.4375,-262.89062
5449175476369,1.944970536,52.539062,-73.24219,-262.3047
5449195526052,1.965020219,52.63672,-73.828125,-263.1836
5449215545217,1.985039384,52.441406,-73.53516,-262.5
5449235594901,2.005089068,52.34375,-73.828125,-262.79297
5449255644584,2.025138751,51.464844,-73.046875,-261.6211
5449275663749,2.045157916,50.78125,-72.75391,-260.83984
5449295713433,2.0652076,52.83203,-73.53516,-263.3789
5449315732598,2.085226765,52.734375,-73.63281,-262.98828
5449335782281,2.105276448,51.464844,-72.55859,-261.42578
5449355831965,2.125326132,52.83203,-73.33984,-262.79297
5449375851130,2.145345297,52.734375,-73.33984,-262.79297
5449395900813,2.16539498,52.63672,-73.92578,-262.79297
5449415950497,2.185444664,52.539062,-73.53516,-262.79297
5449435969662,2.205463829,52.539062,-73.73047,-262.6953
5449456019345,2.225513512,52.63672,-73.828125,-262.79297
5449476038511,2.245532678,52.83203,-73.33984,-262.59766
5449496088194,2.265582361,52.539062,-73.92578,-262.98828
5449516137877,2.285632044,52.539062,-73.92578,-262.6953
5449536157043,2.30565121,52.83203,-73.73047,-262.98828
5449556206726,2.325700893,52.441406,-73.73047,-263.3789
5449576256409,2.345750576,52.734375,-74.02344,-262.6953
5449596306091,2.365800258,52.539062,-73.63281,-263.3789
5449616325258,2.385819425,52.63672,-73.4375,-262.6953
5449636374940,2.405869107,52.929688,-74.02344,-262.98828
5449656424623,2.42591879,52.539062,-73.63281,-262.79297
5449676474306,2.445968473,50.976562,-72.65625,-261.42578
5449696493472,2.465987639,52.63672,-73.33984,-262.5
5449716543155,2.486037322,53.027344,-74.02344,-262.59766
5449736592838,2.506087005,52.63672,-73.4375,-262.5
5449756642522,2.526136689,52.83203,-74.02344,-262.6953
5449776692205,2.546186372,52.63672,-73.33984,-263.1836
5449796741888,2.566236055,52.441406,-73.33984,-262.98828
5449816791570,2.586285737,52.539062,-73.53516,-263.08594
5449836810737,2.606304904,52.734375,-73.24219,-262.40234
5449856860419,2.626354586,52.246094,-72.75391,-262.5
5449876910102,2.646404269,52.734375,-73.14453,-263.1836
5449896959785,2.666453952,52.734375,-72.75391,-262.79297
5449917009468,2.686503635,52.34375,-70.11719,-262.98828
5449937059151,2.706553318,53.222656,-73.33984,-262.59766
5449957108834,2.726603001,52.63672,-73.14453,-262.79297
5449977158517,2.746652684,52.441406,-74.02344,-262.98828
5449997208200,2.766702367,50.976562,-72.16797,-261.23047
5450017257883,2.78675205,52.734375,-73.33984,-262.3047
5450037307566,2.806801733,52.539062,-73.53516,-263.1836
5450057357249,2.826851416,53.027344,-73.046875,-262.5
5450077406932,2.846901099,52.539062,-73.046875,-262.6953
5450097456614,2.866950781,52.734375,-73.33984,-263.08594
5450117506298,2.887000465,52.539062,-73.92578,-262.6953
5450137555981,2.907050148,53.125,-73.92578,-262.79297
5450157605664,2.927099831,52.929688,-73.63281,-262.89062
5450177655347,2.947149514,52.539062,-73.92578,-263.28125
5450197705029,2.967199196,53.027344,-73.92578,-263.1836
5450217754712,2.987248879,52.929688,-73.4375,-263.28125
5450237804395,3.007298562,52.539062,-73.92578,-262.98828
5450257854079,3.027348246,51.85547,-72.94922,-261.8164
5450277903762,3.047397929,52.539062,-73.828125,-262.5
5450297953445,3.067447612,52.929688,-73.73047,-262.10938
5450318003127,3.087497294,52.246094,-72.07031,-263.28125
5450338022294,3.107516461,52.63672,-73.63281,-262.79297
5450358071977,3.127566144,53.125,-73.63281,-263.47656
5450378121659,3.147615826,52.734375,-73.53516,-263.08594
5450398171342,3.167665509,52.34375,-73.4375,-262.98828
5450418221025,3.187715192,52.441406,-73.53516,-262.98828
5450438270708,3.207764875,52.63672,-73.92578,-262.79297
5450458320391,3.227814558,52.539062,-73.63281,-262.6953
5450478370075,3.247864242,52.441406,-73.92578,-262.98828
5450498419757,3.267913924,52.63672,-73.828125,-262.98828
5450518469440,3.287963607,52.539062,-73.92578,-263.1836
5450538519123,3.30801329,52.63672,-73.828125,-262.59766
5450558568806,3.328062973,52.734375,-73.828125,-263.08594
5450578618489,3.348112656,53.125,-73.63281,-262.98828
5450598668171,3.368162338,52.539062,-73.53516,-262.98828
5450618717854,3.388212021,52.441406,-73.92578,-263.08594
5450638767538,3.408261705,51.171875,-72.65625,-261.32812
5450658817221,3.428311388,52.34375,-74.02344,-262.40234
5450678866904,3.448361071,52.539062,-73.33984,-262.89062
5450698916587,3.468410754,53.125,-73.53516,-263.57422
5450718966269,3.488460436,52.441406,-73.4375,-262.6953
5450739015952,3.508510119,53.027344,-73.14453,-262.89062
5450759065635,3.528559802,52.83203,-73.92578,-262.40234
5450779115319,3.548609486,52.734375,-73.53516,-262.59766
5450799165002,3.568659169,52.929688,-73.53516,-263.28125
5450819214685,3.588708852,52.83203,-73.73047,-262.98828
5450839233851,3.608728018,52.441406,-73.63281,-262.59766
5450859283534,3.628777701,52.734375,-73.73047,-262.98828
5450879333216,3.648827383,52.63672,-73.53516,-263.1836
5450899382899,3.668877066,52.34375,-73.33984,-263.08594
5450919432582,3.688926749,52.83203,-73.92578,-262.98828
5450939482265,3.708976432,52.539062,-73.63281,-263.08594
5450959531948,3.729026115,52.148438,-73.53516,-262.5
5450979551114,3.749045281,52.441406,-73.63281,-262.5
5450999600797,3.769094964,52.929688,-73.73047,-262.40234
5451019650480,3.789144647,52.929688,-73.53516,-263.28125
5451039700163,3.80919433,53.320312,-73.73047,-262.40234
5451059749846,3.829244013,52.929688,-73.4375,-263.28125
5451079799529,3.849293696,52.83203,-73.828125,-263.08594
5451099849212,3.869343379,52.734375,-73.53516,-262.89062
5451119898895,3.889393062,52.539062,-73.92578,-263.1836
5451139948578,3.909442745,52.441406,-73.63281,-262.10938
5451159998261,3.929492428,52.34375,-73.046875,-262.89062
5451180047943,3.94954211,53.027344,-73.53516,-262.89062
5451200097626,3.969591793,52.63672,-73.33984,-262.79297
5451220147310,3.989641477,53.027344,-73.73047,-262.01172
5451240196993,4.00969116,52.63672,-73.4375,-263.08594
5451260246676,4.029740843,51.07422,-72.75391,-260.9375
5451280296358,4.049790525,51.757812,-72.85156,-261.8164
5451300346041,4.069840208,52.34375,-73.63281,-263.57422
5451320395724,4.089889891,52.246094,-73.4375,-262.40234
5451340536959,4.110031126,52.148438,-72.36328,-262.20703
5451360586642,4.130080809,52.734375,-73.24219,-262.6953
5451380636324,4.150130491,52.34375,-73.73047,-262.40234
5451400655491,4.170149658,52.63672,-73.53516,-262.5
5451420705173,4.19019934,52.246094,-73.53516,-262.3047
5451440754856,4.210249023,52.63672,-73.828125,-262.89062
5451460804539,4.230298706,52.441406,-73.14453,-262.5
5451480854222,4.250348389,52.929688,-73.73047,-262.89062
5451500903905,4.270398072,51.757812,-72.85156,-262.01172
5451520953589,4.290447756,52.539062,-73.92578,-262.79297
5451541003271,4.310497438,51.953125,-73.046875,-262.20703
5451561052954,4.330547121,52.34375,-73.828125,-263.3789
5451581102637,4.350596804,51.757812,-73.63281,-261.71875
5451601152320,4.370646487,52.83203,-73.73047,-262.98828
5451621202003,4.39069617,52.539062,-73.828125,-262.79297
5451641251686,4.410745853,52.539062,-73.14453,-262.89062
5451661301368,4.430795535,52.734375,-73.73047,-262.59766
5451681351052,4.450845219,52.441406,-73.4375,-262.79297
5451701400735,4.470894902,52.539062,-73.53516,-262.98828
5451721419900,4.490914067,52.63672,-73.63281,-263.28125
