time,seconds_elapsed,latitude,longitude,altitude,horizontalAccuracy,speed,bearing,speedAccuracy,bearingAccuracy
1780143257000,0.844517231,41.04005437809974,28.76707180403173,61.0,10.0,0.0,-1.0,0.02,-1.0
1780143258000,1.851065807,41.04005437809974,28.76707180403173,61.0,8.0,0.0,-1.0,0.4,-1.0
1780143259000,2.833178998,41.040060077793896,28.767084293067455,62.0,7.5,0.65999997,61.6,0.49,180.0
1780143260000,3.818131613,41.04006426874548,28.767083706334233,63.0,7.5,0.82,61.6,0.58,180.0
1780143261000,4.839530728,41.040077093057334,28.767094099894166,64.0,7.0,1.01,61.6,0.44,180.0
1780143262000,5.828763189,41.04008484631777,28.767093429341912,64.0,6.5,1.17,61.6,0.34,180.0
1780143263000,6.839328303,41.04009264148772,28.767114719375968,65.0,6.0,1.13,33.5,0.39,10.0
1780143264000,7.802703841,41.04009314440191,28.76715738326311,68.0,6.0,0.62,32.0,0.4,13.0
1780143265000,8.83844134,41.04008698370308,28.7671734765172,69.0,5.5,0.39,23.7,0.52,21.7
1780143266000,9.811148917,41.04008501395583,28.767165513709188,69.0,5.5,0.39,28.8,0.48,30.1
1780143267000,10.833510877,41.04008920490742,28.767171297222376,67.0,6.5,0.26999998,42.5,0.3,35.9
1780143268000,11.842010223,41.04008987545967,28.767185462638736,68.0,6.0,0.41,42.0,0.44,42.6
1780143269000,12.839937722,41.040093689225614,28.76720708794892,68.0,5.5,1.0,27.0,0.51,16.7
1780143270000,13.825080798,41.04010219685733,28.767221672460437,68.0,5.5,1.4,28.9,0.51,10.4
1780143271000,14.84066799,41.04010710027069,28.767229467630386,69.0,5.5,1.2099999,29.0,0.39,8.3
1780143272000,15.815110912,41.04011858347803,28.767231227830052,69.0,5.5,1.13,25.3,0.38,8.2
1780143273000,16.846149219,41.04012751020491,28.767239777371287,69.0,6.0,0.64,26.6,0.53,11.1
1780143274000,17.828169642,41.04013107251376,28.767247907817364,68.0,6.0,0.11,26.1,0.71,16.2
1780143275000,18.825108795,41.040129689499736,28.76726291142404,69.0,6.0,0.01,26.1,0.62,22.1
